2026-01-31 09:31:09.556 | R=3 I=0 | TX=91E30D41 | ECHO=91E30D41 | RX1=91E30D41 | RX2=91E30D41 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:09.565 | R=3 I=1 | TX=3A7F2C98 | ECHO=3A7F2C98 | RX1=3A7F2C98 | RX2=3A7F2C98 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:09.574 | R=3 I=2 | TX=D6B4E109 | ECHO=D6B4E109 | RX1=D6B4E109 | RX2=D6B4E109 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:09.582 | R=3 I=3 | TX=0F8C1A7E | ECHO=0F8C1A7E | RX1=0F8C1A7E | RX2=0F8C1A7E | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:09.591 | R=3 I=4 | TX=B2D93F55 | ECHO=B2D93F55 | RX1=B2D93F55 | RX2=B2D93F55 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:09.600 | R=3 I=5 | TX=7C1046AA | ECHO=7C1046AA | RX1=7C1046AA | RX2=7C1046AA | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:09.608 | R=3 I=6 | TX=E51B8093 | ECHO=E51B8093 | RX1=E51B8093 | RX2=E51B8093 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:09.617 | R=3 I=7 | TX=28FD6C0D | ECHO=28FD6C0D | RX1=28FD6C0D | RX2=28FD6C0D | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:09.626 | R=3 I=8 | TX=C0A7D314 | ECHO=C0A7D314 | RX1=C0A7D314 | RX2=C0A7D314 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:09.635 | R=3 I=9 | TX=5B9E21F0 | ECHO=5B9E21F0 | RX1=5B9E21F0 | RX2=5B9E21F0 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.144 | R=4 I=0 | TX=91E30D41 | ECHO=91E30D41 | RX1=91E30D41 | RX2=91E30D41 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.154 | R=4 I=1 | TX=3A7F2C98 | ECHO=3A7F2C98 | RX1=3A7F2C98 | RX2=3A7F2C98 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.163 | R=4 I=2 | TX=D6B4E109 | ECHO=D6B4E109 | RX1=D6B4E109 | RX2=D6B4E109 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.171 | R=4 I=3 | TX=0F8C1A7E | ECHO=0F8C1A7E | RX1=0F8C1A7E | RX2=0F8C1A7E | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.180 | R=4 I=4 | TX=B2D93F55 | ECHO=B2D93F55 | RX1=B2D93F55 | RX2=B2D93F55 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.189 | R=4 I=5 | TX=7C1046AA | ECHO=7C1046AA | RX1=7C1046AA | RX2=7C1046AA | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.197 | R=4 I=6 | TX=E51B8093 | ECHO=E51B8093 | RX1=E51B8093 | RX2=E51B8093 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.206 | R=4 I=7 | TX=28FD6C0D | ECHO=28FD6C0D | RX1=28FD6C0D | RX2=28FD6C0D | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.215 | R=4 I=8 | TX=C0A7D314 | ECHO=C0A7D314 | RX1=C0A7D314 | RX2=C0A7D314 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.224 | R=4 I=9 | TX=5B9E21F0 | ECHO=5B9E21F0 | RX1=5B9E21F0 | RX2=5B9E21F0 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.733 | R=5 I=0 | TX=91E30D41 | ECHO=91E30D41 | RX1=91E30D41 | RX2=91E30D41 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.742 | R=5 I=1 | TX=3A7F2C98 | ECHO=3A7F2C98 | RX1=3A7F2C98 | RX2=3A7F2C98 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.751 | R=5 I=2 | TX=D6B4E109 | ECHO=D6B4E109 | RX1=D6B4E109 | RX2=D6B4E109 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.760 | R=5 I=3 | TX=0F8C1A7E | ECHO=0F8C1A7E | RX1=0F8C1A7E | RX2=0F8C1A7E | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.769 | R=5 I=4 | TX=B2D93F55 | ECHO=B2D93F55 | RX1=B2D93F55 | RX2=B2D93F55 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.777 | R=5 I=5 | TX=7C1046AA | ECHO=7C1046AA | RX1=7C1046AA | RX2=7C1046AA | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.786 | R=5 I=6 | TX=E51B8093 | ECHO=E51B8093 | RX1=E51B8093 | RX2=E51B8093 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.795 | R=5 I=7 | TX=28FD6C0D | ECHO=28FD6C0D | RX1=28FD6C0D | RX2=28FD6C0D | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.804 | R=5 I=8 | TX=C0A7D314 | ECHO=C0A7D314 | RX1=C0A7D314 | RX2=C0A7D314 | ST1=K | ST2=K | PASS1 | PASS2
2026-01-31 09:31:10.813 | R=5 I=9 | TX=5B9E21F0 | ECHO=5B9E21F0 | RX1=5B9E21F0 | RX2=5B9E21F0 | ST1=K | ST2=K | PASS1 | PASS2
